Date,Private equity,Private equity returns,MSCI PRICE,MSCI TOTAL RETURN,MSCI TOTAL RETURN.1,gold,LEV LOANS INDEX,CORPORATE BONDS TR,REITs GLOBAL TR,Fama French Market,Fama French Size,Fama French Value,Fama French Robust,Fama French Conservative,Risk free
2004-12-31,1967.07,0.04225662740878633,1799.55,3694.97,3364.558,438.1,1523.587,175.695,,257.5401785,138.901347,191.2673977,191.1052465,191.5695871,184.7139659
2005-01-31,1968.8233333333333,0.0008909456130155036,1755.68,3603.494,3289.439,421.4,1529.025,177.094,,250.4320695,137.2623111,195.2266329,196.3033092,188.7726712,185.0095083
2005-02-28,1970.5766666666666,0.0008901525354660933,1792.63,3678.646,3395.133,437.02,1537.088,176.453,1140.77,255.1652356,136.8505242,198.233123,199.0908162,188.6782848,185.3055235
2005-03-31,1972.33,0.0008893608685820453,1760.89,3619.894,3330.635,427.65,1543.409,175.623,1111.06,250.1384805,134.9072467,202.2969021,199.9867249,191.1122347,185.6946651
2005-05-31,2056.7833333333333,0.02074411908546736,1782.46,3670.69,3320.818,416.05,1542.413,179.571,1167.37,252.5016263,133.1520468,201.203902,199.9488674,189.8456288,186.531227
2005-06-30,2099.01,0.020322531266237398,1784.99,3679.889,3351.019,438.65,1552.404,181.301,1212.6,253.9408855,137.5194339,206.8577317,201.8683765,188.8584315,186.9602488
2005-08-31,2187.0433333333335,0.02033139552218266,1834.48,3782.703,3496.581,433.4,1574.05,182.579,1261.21,260.6758448,140.0840201,207.9945142,195.1783637,188.0030615,187.9711803
2005-09-30,2231.06,0.01992625330730302,1849.33,3815.117,3588.41,470.85,1581.738,181.095,1288.84,261.9531564,139.5797176,209.4296763,195.7053452,186.8750431,188.5162967
2005-10-31,2288.3766666666666,0.025365878149259835,1818.5,3752.529,3502.063,465.7,1585.875,179.705,1250.13,256.6617026,137.5837277,210.288338,193.865715,184.4643551,189.0252907
2005-11-30,2345.6933333333336,0.024738335724934224,1887.28,3904.158,3620.657,495.2,1591.304,180.638,1295.72,265.9271901,138.739431,207.7648779,192.4311087,182.3614614,189.6112691
2006-01-31,2451.4700000000003,0.019965726418094576,1937.93,4012.973,3867.814,569.85,1610.71,181.975,1441.92,273.3263482,146.4512067,210.49158,191.5625016,181.9949349,190.8837882
2006-02-28,2499.93,0.019574886853544804,1943.19,4017.045,3863.679,559.75,1620.797,182.48,1475.9,272.5063692,145.8214665,209.7127612,190.6046891,185.4528387,191.5327931
2006-03-31,2548.39,0.019199055739584914,1967.38,4068.566,3950.381,583.55,1632.062,180.693,1542.46,276.4849622,150.7793964,210.8661814,190.7952938,184.7110273,192.2414645
2006-05-31,2657.076666666667,0.02066434609058021,1936.41,4000.222,3936.964,647.1,1643.05,180.538,1482.65,268.5607345,145.2221353,220.9580808,196.4439507,187.3890676,193.7631479
2006-06-30,2711.42,0.020245961939823864,1939.03,4004.709,3937.433,613.15,1648.754,180.352,1531.84,267.6207719,144.9026466,222.7257454,199.0566552,187.2391563,194.5382005
2006-07-31,2741.4466666666667,0.011013278703444485,1950.99,4018.081,3962.861,632.65,1657.088,182.705,1586.74,265.5333299,139.6281902,228.56116,202.3211843,188.9243087,195.3163533
2006-08-31,2771.4733333333334,0.01089330648371245,1997.42,4115.145,4067.754,624.15,1666.111,185.569,1648.57,270.9236565,140.2146286,223.8985123,198.4770818,192.9861813,196.136682
2006-10-31,2938.99,0.04791099688992606,2115.65,4364.118,4269.391,605.4,1687.435,188.414,1791.4,284.8205013,140.9046459,223.450366,199.8636904,194.629644,197.7482999
2006-11-30,3076.48,0.045720101370275934,2155.89,4450.719,4376.153,647.6,1695.52,190.343,1884.99,289.6909318,141.9332498,223.6961614,200.223445,193.0142179,198.5788427
2007-01-31,3263.9766666666665,0.015439355274777355,2219.19,4586.413,4519.915,652.77,1722.357,189.116,2030.55,296.3022003,140.9245018,228.1500191,199.3386236,197.680105,200.2504
2007-02-28,3313.983333333333,0.015204601439046783,2175.78,4502.528,4498.258,669.17,1734.908,192.107,2043.0,290.4946772,142.7283354,227.8762391,198.3419305,196.2568083,201.0113515
2007-04-30,3473.8666666666663,0.032140517278429925,2297.57,4746.318,4787.38,680.75,1753.499,192.289,2082.8,302.6772454,140.0397503,222.5062033,201.7468862,197.0086092,202.7639534
2007-05-31,3583.7433333333333,0.031139591231797326,2377.75,4912.532,4926.191,662.05,1764.176,190.846,2108.22,312.4839882,140.5719014,221.1266649,204.8739629,194.3292921,203.5952856
2007-07-31,3731.4133333333334,0.010180064660918475,2265.75,4680.877,4782.624,664.65,1708.916,190.745,1876.79,294.9321001,137.4057302,210.6008388,206.3511186,192.3259748,205.2273054
2007-08-31,3769.2066666666665,0.010077474442423906,2299.71,4751.956,4781.075,672.6,1712.891,192.228,1919.87,297.6454754,136.8835884,206.620483,203.8129998,191.2874145,206.0892601
2007-10-31,3859.8766666666666,0.013793753925154917,2423.67,5015.452,5164.825,790.6,1763.041,194.695,2102.6,312.7597936,133.5175771,195.7302467,202.0433649,185.2879219,207.4103417
2007-11-30,3912.7533333333336,0.013606072178342643,2322.34,4803.743,4956.049,782.65,1738.565,195.241,1941.64,297.6534955,129.4853463,193.8903823,205.8417802,184.7876446,208.1155369
2007-12-31,3965.63,0.013423429251265162,2306.23,4776.315,4893.543,836.15,1743.999,195.41,1850.17,295.0639101,129.7184199,192.8821524,207.5296828,182.8288955,208.6774488
2008-01-31,3956.3866666666668,-0.002333581944316876,2167.9,4486.439,4520.672,923.05,1687.752,197.383,1757.1,276.2978454,128.9271376,200.6167267,212.1160887,186.723151,209.1156715
